company_name,rcid,top_first_job_count,latest_profile_count_proxy,in_excel_popular_list,excel_industry,hq_state,suggested_bucket,suggested_action,confidence,manual_decision,notes
Government of China,,0,0,0,,,exclude,review,high,0,exclude pattern: \bgovernment\b
Macquarie Group Ltd.,,0,0,0,,,other_or_review,review,low,0,no rule match
"Philadelphia Trading, Inc.",,0,0,0,,,quant,review,medium,1,quant keyword: \btrading\b
Rothschild & Co. SCA,,0,0,0,,,other_or_review,review,low,0,no rule match
Scully Royalty Ltd.,,0,0,0,,,other_or_review,review,low,0,no rule match
The Northwestern Mutual Life Insurance Co.,,0,0,0,,,other_or_review,review,low,0,no rule match
"Burns & McDonnell, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
L'Oréal SA,,0,0,0,,,other_or_review,review,low,0,no rule match
"Northwell Health, Inc.",,0,0,0,,,exclude,review,high,0,exclude pattern: \bhealth\b
"Skadden, Arps, Slate, Meagher & Flom LLP",,0,0,0,,,other_or_review,review,high,0,exact mapping
Sony Group Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
Stryker Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
University of Illinois,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
University of Maryland,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
WPP Plc,,0,0,0,,,other_or_review,review,low,0,no rule match
"Warner Bros. Discovery, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Altman Solon GmbH & Co. KG,,0,0,0,,,other_or_review,review,low,0,no rule match
"City Year, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
InterSystems Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
Kobre & Kim LLP,,0,0,0,,,other_or_review,review,low,0,no rule match
"L3Harris Technologies, Inc.",,0,0,0,,,tech,review,medium,1,tech keyword: \btechnolog
Stifel Financial Corp.,,0,0,0,,,finance,review,medium,1,finance keyword: \bfinancial\b
Willis Towers Watson Plc,,0,0,0,,,other_or_review,review,low,0,no rule match
"Affiliated Managers Group, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
BPCE SA,,0,0,0,,,other_or_review,review,low,0,no rule match
Bank of Montreal,,0,0,0,,,finance,review,medium,1,finance keyword: \bbank\b
Boston Scientific Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
"FTI Consulting, Inc.",,0,0,0,,,consulting,review,medium,1,consulting keyword: \bconsult
Fiverr International Ltd.,,0,0,0,,,other_or_review,review,low,0,no rule match
"Honeywell International, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Jump Financial LLC,,0,0,0,,,finance,review,medium,1,finance keyword: \bfinancial\b
"Kaiser Permanente, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Sidley Austin LLP,,0,0,0,,,other_or_review,review,low,0,no rule match
The Hearst Family Trust,,0,0,0,,,other_or_review,review,low,0,no rule match
